节点50Ce-100Ag-dmac-trans-cv_Trend67__0__15-08-06-102.txt的数据

Standard Time	Epoch Time		Value
HH:MM:SS:000	(自1970-01-01的毫秒数)
15:14:14.632	1729149254632	65.67
15:14:15.187	1729149255187	65.77
15:14:15.741	1729149255741	65.76
15:14:16.295	1729149256295	65.8
15:14:16.850	1729149256850	65.93
15:14:17.406	1729149257406	65.87
15:14:17.961	1729149257961	66
15:14:18.516	1729149258516	66.01
15:14:19.071	1729149259071	66.1
15:14:19.626	1729149259626	66.1
15:14:20.179	1729149260179	66.17
15:14:20.733	1729149260733	66.2
15:14:21.287	1729149261287	66.27
15:14:21.842	1729149261842	66.27
15:14:22.398	1729149262398	66.34
15:14:22.952	1729149262952	66.25
15:14:23.506	1729149263506	66.37
15:14:24.061	1729149264061	66.4
15:14:24.615	1729149264615	66.41
15:14:25.169	1729149265169	66.46
15:14:25.723	1729149265723	66.43
15:14:26.277	1729149266277	66.56
15:14:26.831	1729149266831	66.5
15:14:27.385	1729149267385	66.54
15:14:27.941	1729149267941	66.48
15:14:28.494	1729149268494	66.57
15:14:29.050	1729149269050	66.63
15:14:29.604	1729149269604	66.65
15:14:30.157	1729149270157	66.62
15:14:30.712	1729149270712	66.64
15:14:31.266	1729149271266	66.63
15:14:31.823	1729149271823	66.65
15:14:32.377	1729149272377	66.67
15:14:32.930	1729149272930	66.68
15:14:33.483	1729149273483	66.67
15:14:34.039	1729149274039	66.65
15:14:34.595	1729149274595	66.81
15:14:35.149	1729149275149	66.76
15:14:35.703	1729149275703	66.73
15:14:36.257	1729149276257	66.82
15:14:36.814	1729149276814	66.84
15:14:37.368	1729149277368	66.81
15:14:37.921	1729149277921	66.81
15:14:38.476	1729149278476	66.77
15:14:39.029	1729149279029	66.79
15:14:39.584	1729149279584	66.87
15:14:40.138	1729149280138	66.86
15:14:40.691	1729149280691	66.8
15:14:41.245	1729149281245	66.94
15:14:41.801	1729149281801	66.9
15:14:42.354	1729149282354	66.88
15:14:42.909	1729149282909	66.92
15:14:43.464	1729149283464	66.84
15:14:44.018	1729149284018	66.9
15:14:44.572	1729149284572	66.91
15:14:45.126	1729149285126	66.9
15:14:45.682	1729149285682	66.96
15:14:46.236	1729149286236	66.88
15:14:46.792	1729149286792	66.89
15:14:47.347	1729149287347	66.97
15:14:47.900	1729149287900	66.9
15:14:48.455	1729149288455	66.93
15:14:49.008	1729149289008	66.82
15:14:49.562	1729149289562	65.92
15:14:50.118	1729149290118	61.49
15:14:50.672	1729149290672	51.32
15:14:51.226	1729149291226	37.78
15:14:51.783	1729149291783	25.57
15:14:52.337	1729149292337	17.07
15:14:52.890	1729149292890	11.53
15:14:53.444	1729149293444	8
15:14:53.998	1729149293998	5.65
15:14:54.551	1729149294551	4.28
15:14:55.104	1729149295104	3.42
15:14:55.658	1729149295658	2.9
15:14:56.213	1729149296213	2.59
15:14:56.770	1729149296770	2.31
